GW_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2018-05-20 0.25331404513633 15.2604166666667 0.328745141157263 13.84375 0.301789889312174 14.63125 0.321510807214687 13.8354166666667 0.350944215984403 13.2354166666667
2018-05-21 0.248347951082009 15.8833333333333 0.320526408096381 14.425 0.29718458080705 15.2104166666667 0.315592264779683 14.25 0.350468210503441 13.5645833333333
2018-05-22 0.261225422420153 15.3416666666667 0.327553824273459 14.8166666666667 0.300099459788137 14.5770833333333 0.321972497845079 13.7 0.361721140136951 13.7458333333333
2018-05-23 0.275200655453842 16.5708333333333 0.340553970220912 15.2645833333333 0.309442484109789 16.2979166666667 0.333575095913271 15.4645833333333 0.367176519864397 14.6145833333333
2018-05-24 0.271736185932443 16.3645833333333 0.337283722198275 15.45 0.308138360743206 16.29375 0.332006238515544 15.6729166666667 0.362715080559184 14.9729166666667
2018-05-25 0.262047276039381 18.71875 0.329744356486647 16.53125 0.306125655766229 17.95625 0.323757734257865 16.6833333333333 0.35399808565097 15.6041666666667
2018-05-26 0.247839312783595 20.3645833333333 0.320601929843791 17.76875 0.298436987487292 19.3625 0.31115669034692 17.9104166666667 0.346133955281341 16.5520833333333
2018-05-27 0.232011599140803 18.2208333333333 0.307248093269929 17.64375 0.284115693475691 17.95625 0.296179225421063 17.225 0.337547430928289 16.7125
2018-05-28 0.221259749954259 19.8291666666667 0.298571427963153 17.8 0.264294846099961 18.66875 0.28145234488742 17.25 0.329541759845638 16.48125
2018-05-29 0.204930497236719 19.4541666666667 0.290936195268884 17.8270833333333 0.235702232223059 18.9854166666667 0.258441386796794 18.1104166666667 0.317826332002845 16.8875
2018-05-30 0.220221098655761 21.4770833333333 0.291452827447198 19.10625 0.288343955500939 20.2020833333333 0.277530061883119 19.1270833333333 0.317949067186663 17.8291666666667
2018-05-31 0.22319540234268 20.1458333333333 0.291587475402873 19.1354166666667 0.311043928682327 19.5375 0.299198693749058 18.5270833333333 0.329818949031684 17.9145833333333
2018-06-01 0.244376221993966 19.125 0.317282547052446 18.33125 0.331138664007065 19.01875 0.339004619256042 18.3416666666667 0.362182614515442 17.59375
2018-06-02 0.227965799393691 19.8270833333333 0.306886179558808 18.6916666666667 0.318845541080294 19.6291666666667 0.322623498906455 18.7583333333333 0.35145933993922 17.8604166666667
2018-06-03 0.211883785884041 20.3458333333333 0.297710055054866 18.875 0.292491361530541 19.5875 0.296635259194525 18.3958333333333 0.339453815235956 17.5833333333333
2018-06-04 0.192858303801367 19.8041666666667 0.285433263645511 18.93125 0.248447547098928 19.4791666666667 0.264239658086627 18.2416666666667 0.324346754465146 17.6166666666667
2018-06-05 0.1785996692208 20.5458333333333 0.272710123791898 19.1895833333333 0.227333165578352 19.9708333333333 0.247002088971987 18.6520833333333 0.308492160507892 17.8916666666667
2018-06-06 0.166041557562636 18.6541666666667 0.263346789159965 18.5166666666667 0.26135382213341 18.3479166666667 0.262635098222051 17.24375 0.298548169087729 17.2145833333333
2018-06-07 0.165747141643589 18.6375 0.261173386880084 18.0916666666667 0.312450966852347 18.74375 0.306357957833326 17.98125 0.307846211753007 17.3604166666667
2018-06-08 0.165176833427101 19.3479166666667 0.257483900255067 18.4520833333333 0.308068924135686 19.1104166666667 0.300143580231276 18.1208333333333 0.306260613511376 17.54375
2018-06-09 0.161334401870778 19.4208333333333 0.251135830393364 18.38125 0.306485995539691 19.4125 0.300490447031627 18.2833333333333 0.301659758395179 17.3916666666667
2018-06-10 0.167357979105283 20.7 0.246772986238312 19.3145833333333 0.324586143889763 20.5875 0.342453248641908 19.36875 0.321756279909344 18.3833333333333
2018-06-11 0.183078890731451 20.5645833333333 0.241887421976159 19.4708333333333 0.309606819429729 20.20625 0.327590561946469 18.925 0.331026027010297 18.2395833333333
2018-06-12 0.215642035269979 17.76875 0.289543526865445 18.4395833333333 0.302100935618031 17.6604166666667 0.34697765930059 16.70625 0.356790426181531 17.15
2018-06-13 0.266324693790012 15.3 0.362825369239823 16.3166666666667 0.33730036641335 15.5479166666667 0.387522584024783 14.8458333333333 0.39253331461656 15.65625
2018-06-14 0.251218600114103 15.60625 0.345445152897242 15.76875 0.321649410452801 16.2708333333333 0.36703555900873 15.4166666666667 0.374400263888955 15.425
2018-06-15 0.242061431739953 18.4916666666667 0.332711582596196 17.19375 0.30935388001646 18.3583333333333 0.351562863783392 16.6416666666667 0.36203299533024 16.1583333333333
2018-06-16 0.227122354318323 19 0.321837405135307 17.93125 0.280570927947607 18.6729166666667 0.317119333719092 16.8166666666667 0.347330456450466 16.4020833333333
2018-06-17 0.215577244579341 17.3083333333333 0.314803860191999 17.4333333333333 0.270128005774926 17.34375 0.306204436347233 16.11875 0.342414789160635 16.3041666666667
2018-06-18 0.263410007098771 17.8375 0.353223304993828 17.33125 0.334299632208061 17.85 0.377174886035545 16.7854166666667 0.385322912516909 16.575
2018-06-19 0.248714065743533 19.1145833333333 0.339594642764943 17.8625 0.328451512509549 18.8416666666667 0.354524955355992 17.3354166666667 0.366737916086378 16.7666666666667
2018-06-20 0.232834285338035 20.6541666666667 0.327795210722176 18.9520833333333 0.306476464600826 20.1395833333333 0.319763035833899 18.2520833333333 0.351359065401824 17.425
2018-06-21 0.218564283738251 20.6041666666667 0.319261649434578 19.4770833333333 0.283393624505011 19.7875 0.293471992707556 18.4270833333333 0.342290223615451 17.9166666666667
2018-06-22 0.262949865326119 17.7958333333333 0.351904953854734 18.29375 0.337862656257286 17.1416666666667 0.373224192923168 16.3 0.38595080064289 17.0479166666667
2018-06-23 0.246839434183597 16.8416666666667 0.336464644524171 16.9 0.323841713899628 16.7645833333333 0.352286468873246 15.5270833333333 0.367950645140733 15.9041666666667
2018-06-24 0.234167159557137 17.9458333333333 0.327962198808336 17.3 0.307824287708992 17.7770833333333 0.327413718891104 16.3479166666667 0.356457804700418 16.28125
2018-06-25 0.243117643753115 16.6645833333333 0.33429962701481 16.9041666666667 0.332893159600757 16.5395833333333 0.362869667155016 15.64375 0.369194873163499 16.0479166666667
2018-06-26 0.238329663209871 16.975 0.329972724923412 16.6291666666667 0.325480320063531 16.9125 0.360987724125427 16.0291666666667 0.369471575282128 15.8020833333333
2018-06-27 0.239664210271861 18.2041666666667 0.332944413262016 17.6041666666667 0.331400436331659 18.2833333333333 0.365303506496081 17.8375 0.370557375293766 17.15
2018-06-28 0.28334619698997 14.3229166666667 0.360001950218142 15.9145833333333 0.369473092080451 15.1104166666667 0.404489274309229 14.95 0.402731644928179 15.8645833333333
2018-06-29 0.275651454579388 17.99375 0.359463091116276 16.63125 0.355684294038162 17.6145833333333 0.390955833145751 17.85 0.393752783810737 16.64375
2018-06-30 0.258549955540194 21.025 0.348559760637059 18.8020833333333 0.34118940804334 20.1 0.370774241191958 19.8645833333333 0.379039500248015 18.3791666666667
2018-07-01 0.244098244809136 21.5604166666667 0.340497515469645 19.79375 0.3184359784041 19.7208333333333 0.344898640425349 19.9479166666667 0.368684965379491 19.1125
2018-07-02 0.228017399290187 21.9375 0.331447399620438 19.9895833333333 0.281251283879012 20.23125 0.304607929067069 19.9895833333333 0.355689420671019 19.14375
2018-07-03 0.213744826006476 20.2958333333333 0.326294157808421 19.7166666666667 0.256678445906772 19.61875 0.275499801368658 19.4395833333333 0.345892362078037 19.1333333333333
2018-07-04 0.206634739756121 19.7395833333333 0.322655116269476 19.30625 0.259608725610393 19.7291666666667 0.267871849294464 19.3520833333333 0.340014070446308 18.9145833333333
2018-07-05 0.214132459330403 17.84375 0.320715774414062 18.3625 0.282751050578766 18.2 0.28402973884237 17.79375 0.336383277913188 18.0666666666667
